Title,Speaker,Date Posted,Link
"""Tumba La Nyama"" / ""Mulema""",Richard Bona,Sep 2019,https://www.ted.com/talks/richard_bona_tumba_la_nyama_mulema
"""Turceasca""",Silk Road Ensemble,Mar 2017,https://www.ted.com/talks/silk_road_ensemble_turceasca
"""Wahala"" / ""Make You No Forget"" / ""Best I Can""",Blitz Bazawule,Jan 2020,https://www.ted.com/talks/blitz_bazawule_wahala_make_you_no_forget_best_i_can
"""Way Home"" / ""Warrior Heart""",Shawnee,Aug 2020,https://www.ted.com/talks/shawnee_way_home_warrior_heart
"""We Are the Halluci Nation""",A Tribe Called Red,Oct 2018,https://www.ted.com/talks/a_tribe_called_red_we_are_the_halluci_nation
"""White Lies"" / ""Turn It Around""",Lucius,Aug 2020,https://www.ted.com/talks/lucius_white_lies_turn_it_around
"""White""",Yue Xiu Lim,Sep 2018,https://www.ted.com/talks/yue_xiu_lim_white
"""Wild Women""",Sunni Patterson,Aug 2018,https://www.ted.com/talks/sunni_patterson_wild_women
"""Woman, Life, Freedom"" in Iran — and what it means for the rest of the world",Golshifteh Farahani,May 2023,https://www.ted.com/talks/golshifteh_farahani_woman_life_freedom_in_iran_and_what_it_means_for_the_rest_of_the_world
"""Wrong"" / ""Small Town Weirdos""",The Bloom Twins,Oct 2019,https://www.ted.com/talks/the_bloom_twins_wrong_small_town_weirdos
"""You Are Not Alone"" / ""Extraordinary Being"" / ""Shine""",Emeli Sandé,Jun 2019,https://www.ted.com/talks/emeli_sande_you_are_not_alone_extraordinary_being_shine
"""You Found Me""",Helen Gillet,May 2018,https://www.ted.com/talks/helen_gillet_you_found_me
"""You Have the Rite""",Marc Bamuthi Joseph,Aug 2019,https://www.ted.com/talks/marc_bamuthi_joseph_you_have_the_rite
"""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,Sep 2018,https://www.ted.com/talks/elise_legrow_you_never_can_tell_over_the_mountain_across_the_sea
"""You and I"" / ""Attention""",Charlie Puth,Jan 2022,https://www.ted.com/talks/charlie_puth_you_and_i_attention
"""Your Song"" / ""Real Life""",Joan As Police Woman,Dec 2021,https://www.ted.com/talks/joan_as_police_woman_your_song_real_life
"""my mama"" / ""BLACK BANANA""",Rei,Mar 2018,https://www.ted.com/talks/rei_my_mama_black_banana
10 steps to boost your financial health — that you can do in a day,Wendy De La Rosa,Mar 2021,https://www.ted.com/talks/wendy_de_la_rosa_10_steps_to_boost_your_financial_health_that_you_can_do_in_a_day
10 years to transform the future of humanity — or destabilize the planet,Johan Rockström,Oct 2020,https://www.ted.com/talks/johan_rockstrom_10_years_to_transform_the_future_of_humanity_or_destabilize_the_planet
100 solutions to reverse global warming,Chad Frischmann,Nov 2018,https://www.ted.com/talks/chad_frischmann_100_solutions_to_reverse_global_warming
12 truths I learned from life and writing,Anne Lamott,Jun 2017,https://www.ted.com/talks/anne_lamott_12_truths_i_learned_from_life_and_writing
1816: The year with no summer,David Biello,May 2023,https://www.ted.com/talks/david_biello_1816_the_year_with_no_summer
2 questions to uncover your passion — and turn it into a career,Noeline Kirabo,Mar 2020,https://www.ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career
24 hours on Earth — in one image,Stephen Wilkes,Nov 2020,https://www.ted.com/talks/stephen_wilkes_24_hours_on_earth_in_one_image
3 bizarre (and delightful) ancient theories about bird migration,Lucy Cooke,Dec 2020,https://www.ted.com/talks/lucy_cooke_3_bizarre_and_delightful_ancient_theories_about_bird_migration
3 creative ways to fix fashion's waste problem,Amit Kalra,Feb 2018,https://www.ted.com/talks/amit_kalra_3_creative_ways_to_fix_fashion_s_waste_problem
3 elements of true fun — and how to have more of it,Catherine Price,Mar 2023,https://www.ted.com/talks/catherine_price_3_elements_of_true_fun_and_how_to_have_more_of_it
3 fears about screen time for kids — and why they're not true,Sara DeWitt,Oct 2017,https://www.ted.com/talks/sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true
3 kinds of bias that shape your worldview,J. Marshall Shepherd,Dec 2018,https://www.ted.com/talks/j_marshall_shepherd_3_kinds_of_bias_that_shape_your_worldview
3 lessons of revolutionary love in a time of rage,Valarie Kaur,Feb 2018,https://www.ted.com/talks/valarie_kaur_3_lessons_of_revolutionary_love_in_a_time_of_rage
3 lessons on decision-making from a poker champion,Liv Boeree,Oct 2018,https://www.ted.com/talks/liv_boeree_3_lessons_on_decision_making_from_a_poker_champion
