Name,Course,Sector,Links
3 steps to getting what you want in a negotiation,Shweta Narayan,Nov 2021,https://www.ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation
3 steps to help kids process traumatic events,Kate Ackerman,Feb 2023,https://www.ted.com/talks/kristen_nguyen_3_steps_to_help_kids_process_traumatic_events
3 steps to stop remote work burnout,Van Jones,Oct 2020,https://www.ted.com/talks/morra_aarons_mele_3_steps_to_stop_remote_work_burnout
3 steps to turn everyday get-togethers into transformative gatherings,Ilan Stavans,Jun 2019,https://www.ted.com/talks/priya_parker_3_steps_to_turn_everyday_get_togethers_into_transformative_gatherings
"3 stories of Pakistani resilience, told in film",Raymond Adkins,Feb 2023,https://www.ted.com/talks/jawad_sharif_3_stories_of_pakistani_resilience_told_in_film
3 strategies for effectively talking about climate change,Nadya Bartol,Apr 2021,https://www.ted.com/talks/john_marshall_3_strategies_for_effectively_talking_about_climate_change
3 things I learned from my intellectually disabled son,Margaret Mitchell,Jan 2018,https://www.ted.com/talks/emilie_weight_3_things_i_learned_from_my_intellectually_disabled_son
3 things men can do to promote gender equity,Henri Picciotto,Mar 2022,https://www.ted.com/talks/jimmie_briggs_3_things_men_can_do_to_promote_gender_equity
3 things new parents should consider before going back to work,Alex Gendler,Feb 2020,https://www.ted.com/talks/emily_oster_3_things_new_parents_should_consider_before_going_back_to_work
3 thoughtful ways to conserve water,Mike Sempert,Jan 2018,https://www.ted.com/talks/lana_mazahreh_3_thoughtful_ways_to_conserve_water
3 tips for leaders to get the future of work right,Matt Walker,Oct 2021,https://www.ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
3 tips to boost your confidence,Jennifer Brea,Oct 2016,https://www.ted.com/talks/amy_adkins_3_tips_to_boost_your_confidence
3 ways businesses can fight sex trafficking,Elena Chavez Quezada,Sep 2018,https://www.ted.com/talks/nikki_clifton_3_ways_businesses_can_fight_sex_trafficking
3 ways community creates a healthy life,Dan Kwartler,Oct 2021,https://www.ted.com/talks/olivia_affuso_3_ways_community_creates_a_healthy_life
3 ways companies can support grieving employees,Wendy De La Rosa,Jan 2021,https://www.ted.com/talks/tilak_mandadi_3_ways_companies_can_support_grieving_employees
3 ways to be a better ally in the workplace,Mark Robinson and Alex Gendler,Oct 2018,https://www.ted.com/talks/melinda_briana_epler_3_ways_to_be_a_better_ally_in_the_workplace
3 ways to be a more effective fundraiser,Alex Rosenthal,Dec 2019,https://www.ted.com/talks/kara_logan_berlin_3_ways_to_be_a_more_effective_fundraiser
3 ways to build a happy marriage and avoid divorce,Mathias Basner,Jan 2019,https://www.ted.com/talks/george_blair_west_3_ways_to_build_a_happy_marriage_and_avoid_divorce
"3 ways to create a space that moves you, from a Broadway set designer",François Candelon,Oct 2018,https://www.ted.com/talks/david_korins_3_ways_to_create_a_space_that_moves_you_from_a_broadway_set_designer
3 ways to end a virus,Glynnis Hood,Dec 2022,https://www.ted.com/talks/ted_ed_3_ways_to_end_a_virus
3 ways to fix a broken news industry,Why rivals are working together to transform shipping,Feb 2017,https://www.ted.com/talks/lara_setrakian_3_ways_to_fix_a_broken_news_industry
"3 ways to lead tough, unavoidable conversations",Jill Dash,Nov 2019,https://www.ted.com/talks/adar_cohen_3_ways_to_lead_tough_unavoidable_conversations
3 ways to lower the barriers to higher education,Halla Tómasdóttir,Dec 2021,https://www.ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education
3 ways to make better decisions — by thinking like a computer,Dennis Shasha,Sep 2018,https://www.ted.com/talks/tom_griffiths_3_ways_to_make_better_decisions_by_thinking_like_a_computer
3 ways to make flying more climate-friendly,Victoria Pratt,May 2022,https://www.ted.com/talks/ryah_whalen_3_ways_to_make_flying_more_climate_friendly
3 ways to measure your adaptability — and how to improve it,Judy Brewer,Jul 2019,https://www.ted.com/talks/natalie_fratto_3_ways_to_measure_your_adaptability_and_how_to_improve_it
3 ways to plan for the (very) long term,Marc Raibert,Apr 2017,https://www.ted.com/talks/ari_wallach_3_ways_to_plan_for_the_very_long_term
3 ways to practice civility,Daniel Finkel,Feb 2019,https://www.ted.com/talks/steven_petrow_3_ways_to_practice_civility
3 ways to prepare society for the next pandemic,Noah Charney,Dec 2021,https://www.ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic
3 ways to spot a bad statistic,Liz Hajek,Mar 2017,https://www.ted.com/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic
3 ways to upgrade democracy for the 21st century,Wendy De La Rosa,Jan 2021,https://www.ted.com/talks/max_rashbrooke_3_ways_to_upgrade_democracy_for_the_21st_century
3 ways to uproot a culture of corruption,Noeline Kirabo,Feb 2020,https://www.ted.com/talks/wanjira_mathai_3_ways_to_uproot_a_culture_of_corruption
3 ways we can redesign cities for equity and inclusion,Chloé Valdary,Jun 2020,https://www.ted.com/talks/vishaan_chakrabarti_3_ways_we_can_redesign_cities_for_equity_and_inclusion
3 ways your company's data can jump-start climate action,Mike Merrill,Mar 2022,https://www.ted.com/talks/massimo_russo_3_ways_your_company_s_data_can_jump_start_climate_action
3 ways your money can fight climate change,TED-Ed,May 2023,https://www.ted.com/talks/veronica_chau_3_ways_your_money_can_fight_climate_change
4 kinds of regret — and what they teach you about yourself,Faheem Curtis-Khidr,Feb 2022,https://www.ted.com/talks/daniel_h_pink_4_kinds_of_regret_and_what_they_teach_you_about_yourself
4 larger-than-life lessons from soap operas,J. V. Maranto,Dec 2016,https://www.ted.com/talks/kate_adams_4_larger_than_life_lessons_from_soap_operas
"4 lessons the pandemic taught us about work, life and balance",Katherine M. Gehl,Mar 2021,https://www.ted.com/talks/patty_mccord_4_lessons_the_pandemic_taught_us_about_work_life_and_balance
4 myths and misunderstandings about doing business in Africa,Ilan Stavans,Apr 2021,https://www.ted.com/talks/nomava_zanazo_4_myths_and_misunderstandings_about_doing_business_in_africa
4 proven ways to kick your procrastination habit,TED-Ed,Feb 2023,https://www.ted.com/talks/ayelet_fishbach_4_proven_ways_to_kick_your_procrastination_habit
4 questions you should always ask your doctor,Ayana Elizabeth Johnson,Sep 2019,https://www.ted.com/talks/christer_mjaset_4_questions_you_should_always_ask_your_doctor
4 reasons to learn a new language,Emily Parsons-Lord,Oct 2016,https://www.ted.com/talks/john_mcwhorter_4_reasons_to_learn_a_new_language
